Agency,Country,Percent Change YOY Country,City (copy),City,Date,Percent Change YOY
Brampton Transit,Canada,1,Toronto,Toronto,2/17/2020,8
Brampton Transit,Canada,6,Toronto,Toronto,2/18/2020,-36
Brampton Transit,Canada,-21,Toronto,Toronto,2/19/2020,20
Brampton Transit,Canada,3,Toronto,Toronto,2/20/2020,1
Brampton Transit,Canada,1,Toronto,Toronto,2/21/2020,-6
Brampton Transit,Canada,-8,Toronto,Toronto,2/22/2020,-4
Brampton Transit,Canada,-5,Toronto,Toronto,2/23/2020,7
Brampton Transit,Canada,3,Toronto,Toronto,2/24/2020,13
Brampton Transit,Canada,4,Toronto,Toronto,2/25/2020,19
Brampton Transit,Canada,12,Toronto,Toronto,2/26/2020,-3
Brampton Transit,Canada,1,Toronto,Toronto,2/27/2020,-7
Brampton Transit,Canada,-5,Toronto,Toronto,2/28/2020,-13
Brampton Transit,Canada,-1,Toronto,Toronto,2/29/2020,-10
Brampton Transit,Canada,1,Toronto,Toronto,3/1/2020,-4
Brampton Transit,Canada,5,Toronto,Toronto,3/2/2020,3
Brampton Transit,Canada,-1,Toronto,Toronto,3/3/2020,3
Brampton Transit,Canada,-1,Toronto,Toronto,3/4/2020,3
Brampton Transit,Canada,-3,Toronto,Toronto,3/5/2020,-3
Brampton Transit,Canada,-4,Toronto,Toronto,3/6/2020,-5
Brampton Transit,Canada,-2,Toronto,Toronto,3/7/2020,-1
Brampton Transit,Canada,-3,Toronto,Toronto,3/8/2020,-1
Brampton Transit,Canada,-2,Toronto,Toronto,3/9/2020,-5
Brampton Transit,Canada,-5,Toronto,Toronto,3/10/2020,-9
Brampton Transit,Canada,-6,Toronto,Toronto,3/11/2020,-9
Brampton Transit,Canada,-10,Toronto,Toronto,3/12/2020,-12
Brampton Transit,Canada,-24,Toronto,Toronto,3/13/2020,-22
Brampton Transit,Canada,-31,Toronto,Toronto,3/14/2020,-28
Brampton Transit,Canada,-31,Toronto,Toronto,3/15/2020,-28
Brampton Transit,Canada,-50,Toronto,Toronto,3/16/2020,-48
Brampton Transit,Canada,-60,Toronto,Toronto,3/17/2020,-57
Brampton Transit,Canada,-66,Toronto,Toronto,3/18/2020,-60
Brampton Transit,Canada,-69,Toronto,Toronto,3/19/2020,-63
Brampton Transit,Canada,-71,Toronto,Toronto,3/20/2020,-64
Brampton Transit,Canada,-68,Toronto,Toronto,3/21/2020,-60
Brampton Transit,Canada,-68,Toronto,Toronto,3/22/2020,-57
Brampton Transit,Canada,-74,Toronto,Toronto,3/23/2020,-63
Brampton Transit,Canada,-76,Toronto,Toronto,3/24/2020,-65
Brampton Transit,Canada,-80,Toronto,Toronto,3/25/2020,-74
Brampton Transit,Canada,-81,Toronto,Toronto,3/26/2020,-75
Brampton Transit,Canada,-82,Toronto,Toronto,3/27/2020,-76
Brampton Transit,Canada,-78,Toronto,Toronto,3/28/2020,-74
Brampton Transit,Canada,-76,Toronto,Toronto,3/29/2020,-72
Brampton Transit,Canada,-79,Toronto,Toronto,3/30/2020,-74
Brampton Transit,Canada,-81,Toronto,Toronto,3/31/2020,-77
Brampton Transit,Canada,-81,Toronto,Toronto,4/1/2020,-75
Brampton Transit,Canada,-81,Toronto,Toronto,4/2/2020,-76
Brampton Transit,Canada,-82,Toronto,Toronto,4/3/2020,-77
Brampton Transit,Canada,-79,Toronto,Toronto,4/4/2020,-74
Brampton Transit,Canada,-78,Toronto,Toronto,4/5/2020,-70
Brampton Transit,Canada,-80,Toronto,Toronto,4/6/2020,-75
Brampton Transit,Canada,-82,Toronto,Toronto,4/7/2020,-78
Brampton Transit,Canada,-82,Toronto,Toronto,4/8/2020,-78
Brampton Transit,Canada,-82,Toronto,Toronto,4/9/2020,-78
Brampton Transit,Canada,-83,Toronto,Toronto,4/10/2020,-84
Brampton Transit,Canada,-80,Toronto,Toronto,4/11/2020,-77
Brampton Transit,Canada,-80,Toronto,Toronto,4/12/2020,-77
Brampton Transit,Canada,-80,Toronto,Toronto,4/13/2020,-74
Brampton Transit,Canada,-82,Toronto,Toronto,4/14/2020,-77
Brampton Transit,Canada,-83,Toronto,Toronto,4/15/2020,-79
Brampton Transit,Canada,-83,Toronto,Toronto,4/16/2020,-79
Brampton Transit,Canada,-80,Toronto,Toronto,4/17/2020,-73
Brampton Transit,Canada,-79,Toronto,Toronto,4/18/2020,-76
Brampton Transit,Canada,-78,Toronto,Toronto,4/19/2020,-73
Brampton Transit,Canada,-78,Toronto,Toronto,4/20/2020,-75
Brampton Transit,Canada,-82,Toronto,Toronto,4/21/2020,-78
Brampton Transit,Canada,-82,Toronto,Toronto,4/22/2020,-78
Brampton Transit,Canada,-82,Toronto,Toronto,4/23/2020,-79
Brampton Transit,Canada,-80,Toronto,Toronto,4/24/2020,-75
Brampton Transit,Canada,-78,Toronto,Toronto,4/25/2020,-76
Brampton Transit,Canada,-77,Toronto,Toronto,4/26/2020,-76
Brampton Transit,Canada,-79,Toronto,Toronto,4/27/2020,-76
Brampton Transit,Canada,-82,Toronto,Toronto,4/28/2020,-78
Brampton Transit,Canada,-81,Toronto,Toronto,4/29/2020,-77
Brampton Transit,Canada,-82,Toronto,Toronto,4/30/2020,-78
Brampton Transit,Canada,-81,Toronto,Toronto,5/1/2020,-77
Brampton Transit,Canada,-78,Toronto,Toronto,5/2/2020,-76
Brampton Transit,Canada,-76,Toronto,Toronto,5/3/2020,-74
Brampton Transit,Canada,-79,Toronto,Toronto,5/4/2020,-75
Brampton Transit,Canada,-80,Toronto,Toronto,5/5/2020,-77
Brampton Transit,Canada,-80,Toronto,Toronto,5/6/2020,-76
Brampton Transit,Canada,-81,Toronto,Toronto,5/7/2020,-77
Brampton Transit,Canada,-80,Toronto,Toronto,5/8/2020,-78
Brampton Transit,Canada,-77,Toronto,Toronto,5/9/2020,-77
Brampton Transit,Canada,-76,Toronto,Toronto,5/10/2020,-75
Brampton Transit,Canada,-75,Toronto,Toronto,5/11/2020,-72
Brampton Transit,Canada,-79,Toronto,Toronto,5/12/2020,-76
Brampton Transit,Canada,-80,Toronto,Toronto,5/13/2020,-77
Brampton Transit,Canada,-80,Toronto,Toronto,5/14/2020,-77
Brampton Transit,Canada,-80,Toronto,Toronto,5/15/2020,-77
Brampton Transit,Canada,-74,Toronto,Toronto,5/16/2020,-73
Brampton Transit,Canada,-74,Toronto,Toronto,5/17/2020,-73
Brampton Transit,Canada,-77,Toronto,Toronto,5/18/2020,-81
Brampton Transit,Canada,-77,Toronto,Toronto,5/19/2020,-74
Brampton Transit,Canada,-76,Toronto,Toronto,5/20/2020,-74
Brampton Transit,Canada,-77,Toronto,Toronto,5/21/2020,-73
Brampton Transit,Canada,-76,Toronto,Toronto,5/22/2020,-72
Brampton Transit,Canada,-70,Toronto,Toronto,5/23/2020,-68
Brampton Transit,Canada,-69,Toronto,Toronto,5/24/2020,-68
Brampton Transit,Canada,-69,Toronto,Toronto,5/25/2020,-64
Brampton Transit,Canada,-73,Toronto,Toronto,5/26/2020,-70
Brampton Transit,Canada,-72,Toronto,Toronto,5/27/2020,-70
Brampton Transit,Canada,-74,Toronto,Toronto,5/28/2020,-73
Brampton Transit,Canada,-74,Toronto,Toronto,5/29/2020,-73
Brampton Transit,Canada,-69,Toronto,Toronto,5/30/2020,-68
Brampton Transit,Canada,-67,Toronto,Toronto,5/31/2020,-67
Brampton Transit,Canada,-70,Toronto,Toronto,6/1/2020,-68
Brampton Transit,Canada,-72,Toronto,Toronto,6/2/2020,-68
Brampton Transit,Canada,-73,Toronto,Toronto,6/3/2020,-69
Brampton Transit,Canada,-71,Toronto,Toronto,6/4/2020,-68
Brampton Transit,Canada,-71,Toronto,Toronto,6/5/2020,-68
Brampton Transit,Canada,-67,Toronto,Toronto,6/6/2020,-66
Brampton Transit,Canada,-63,Toronto,Toronto,6/7/2020,-65
Brampton Transit,Canada,-69,Toronto,Toronto,6/8/2020,-67
Brampton Transit,Canada,-70,Toronto,Toronto,6/9/2020,-66
Brampton Transit,Canada,-71,Toronto,Toronto,6/10/2020,-68
Brampton Transit,Canada,-71,Toronto,Toronto,6/11/2020,-66
Brampton Transit,Canada,-70,Toronto,Toronto,6/12/2020,-68
Brampton Transit,Canada,-65,Toronto,Toronto,6/13/2020,-66
Brampton Transit,Canada,-63,Toronto,Toronto,6/14/2020,-64
Brampton Transit,Canada,-66,Toronto,Toronto,6/15/2020,-62
Brampton Transit,Canada,-67,Toronto,Toronto,6/16/2020,-63
Brampton Transit,Canada,-67,Toronto,Toronto,6/17/2020,-63
Brampton Transit,Canada,-66,Toronto,Toronto,6/18/2020,-62
Brampton Transit,Canada,-64,Toronto,Toronto,6/19/2020,-63
Brampton Transit,Canada,-58,Toronto,Toronto,6/20/2020,-56
Brampton Transit,Canada,-59,Toronto,Toronto,6/21/2020,-59
Brampton Transit,Canada,-58,Toronto,Toronto,6/22/2020,-55
Brampton Transit,Canada,-65,Toronto,Toronto,6/23/2020,-65
Brampton Transit,Canada,-67,Toronto,Toronto,6/24/2020,-62
Brampton Transit,Canada,-63,Toronto,Toronto,6/25/2020,-62
Brampton Transit,Canada,-61,Toronto,Toronto,6/26/2020,-60
Brampton Transit,Canada,-57,Toronto,Toronto,6/27/2020,-52
Brampton Transit,Canada,-56,Toronto,Toronto,6/28/2020,-53
Brampton Transit,Canada,-55,Toronto,Toronto,6/29/2020,-50
Brampton Transit,Canada,-60,Toronto,Toronto,6/30/2020,-59
Brampton Transit,Canada,-67,Toronto,Toronto,7/1/2020,-67
Brampton Transit,Canada,-62,Toronto,Toronto,7/2/2020,-64
Brampton Transit,Canada,-60,Toronto,Toronto,7/3/2020,-63
Brampton Transit,Canada,-55,Toronto,Toronto,7/4/2020,-59
Brampton Transit,Canada,-55,Toronto,Toronto,7/5/2020,-59
Brampton Transit,Canada,-55,Toronto,Toronto,7/6/2020,-57
Brampton Transit,Canada,-60,Toronto,Toronto,7/7/2020,-65
Brampton Transit,Canada,-61,Toronto,Toronto,7/8/2020,-66
Brampton Transit,Canada,-60,Toronto,Toronto,7/9/2020,-64
Brampton Transit,Canada,-59,Toronto,Toronto,7/10/2020,-64
Brampton Transit,Canada,-58,Toronto,Toronto,7/11/2020,-61
Brampton Transit,Canada,-53,Toronto,Toronto,7/12/2020,-60
Brampton Transit,Canada,-59,Toronto,Toronto,7/13/2020,-64
Brampton Transit,Canada,-60,Toronto,Toronto,7/14/2020,-65
Brampton Transit,Canada,-59,Toronto,Toronto,7/15/2020,-64
Brampton Transit,Canada,-62,Toronto,Toronto,7/16/2020,-67
Brampton Transit,Canada,-59,Toronto,Toronto,7/17/2020,-64
Brampton Transit,Canada,-52,Toronto,Toronto,7/18/2020,-57
Brampton Transit,Canada,-55,Toronto,Toronto,7/19/2020,-62
Brampton Transit,Canada,-57,Toronto,Toronto,7/20/2020,-63
Brampton Transit,Canada,-59,Toronto,Toronto,7/21/2020,-65
Brampton Transit,Canada,-60,Toronto,Toronto,7/22/2020,-67
Brampton Transit,Canada,-61,Toronto,Toronto,7/23/2020,-65
Brampton Transit,Canada,-58,Toronto,Toronto,7/24/2020,-64
Brampton Transit,Canada,-53,Toronto,Toronto,7/25/2020,-57
Brampton Transit,Canada,-54,Toronto,Toronto,7/26/2020,-59
Brampton Transit,Canada,-56,Toronto,Toronto,7/27/2020,-59
Brampton Transit,Canada,-58,Toronto,Toronto,7/28/2020,-62
Brampton Transit,Canada,-59,Toronto,Toronto,7/29/2020,-65
Brampton Transit,Canada,-58,Toronto,Toronto,7/30/2020,-64
Brampton Transit,Canada,-57,Toronto,Toronto,7/31/2020,-63
Brampton Transit,Canada,-52,Toronto,Toronto,8/1/2020,-57
Brampton Transit,Canada,-56,Toronto,Toronto,8/2/2020,-60
Brampton Transit,Canada,-60,Toronto,Toronto,8/3/2020,-68
Brampton Transit,Canada,-60,Toronto,Toronto,8/4/2020,-62
Brampton Transit,Canada,-60,Toronto,Toronto,8/5/2020,-63
Brampton Transit,Canada,-60,Toronto,Toronto,8/6/2020,-63
Burlington Transit,Canada,1,Toronto,Toronto,2/17/2020,-2
Burlington Transit,Canada,6,Toronto,Toronto,2/18/2020,-21
Burlington Transit,Canada,-21,Toronto,Toronto,2/19/2020,16
Burlington Transit,Canada,3,Toronto,Toronto,2/20/2020,5
Burlington Transit,Canada,1,Toronto,Toronto,2/21/2020,-7
Burlington Transit,Canada,-8,Toronto,Toronto,2/22/2020,-10
Burlington Transit,Canada,-5,Toronto,Toronto,2/23/2020,-1
Burlington Transit,Canada,3,Toronto,Toronto,2/24/2020,4
Burlington Transit,Canada,4,Toronto,Toronto,2/25/2020,21
Burlington Transit,Canada,12,Toronto,Toronto,2/26/2020,1
Burlington Transit,Canada,1,Toronto,Toronto,2/27/2020,-7
Burlington Transit,Canada,-5,Toronto,Toronto,2/28/2020,-9
Burlington Transit,Canada,-1,Toronto,Toronto,2/29/2020,-10
Burlington Transit,Canada,1,Toronto,Toronto,3/1/2020,-1
Burlington Transit,Canada,5,Toronto,Toronto,3/2/2020,2
Burlington Transit,Canada,-1,Toronto,Toronto,3/3/2020,1
Burlington Transit,Canada,-1,Toronto,Toronto,3/4/2020,3
Burlington Transit,Canada,-3,Toronto,Toronto,3/5/2020,-2
Burlington Transit,Canada,-4,Toronto,Toronto,3/6/2020,-8
Burlington Transit,Canada,-2,Toronto,Toronto,3/7/2020,-8
Burlington Transit,Canada,-3,Toronto,Toronto,3/8/2020,-9
Burlington Transit,Canada,-2,Toronto,Toronto,3/9/2020,-7
Burlington Transit,Canada,-5,Toronto,Toronto,3/10/2020,-13
Burlington Transit,Canada,-6,Toronto,Toronto,3/11/2020,-10
Burlington Transit,Canada,-10,Toronto,Toronto,3/12/2020,-17
Burlington Transit,Canada,-24,Toronto,Toronto,3/13/2020,-23
Burlington Transit,Canada,-31,Toronto,Toronto,3/14/2020,-35
Burlington Transit,Canada,-31,Toronto,Toronto,3/15/2020,-33
Burlington Transit,Canada,-50,Toronto,Toronto,3/16/2020,-47
Burlington Transit,Canada,-60,Toronto,Toronto,3/17/2020,-58
Burlington Transit,Canada,-66,Toronto,Toronto,3/18/2020,-64
Burlington Transit,Canada,-69,Toronto,Toronto,3/19/2020,-64
Burlington Transit,Canada,-71,Toronto,Toronto,3/20/2020,-67
Burlington Transit,Canada,-68,Toronto,Toronto,3/21/2020,-65
Burlington Transit,Canada,-68,Toronto,Toronto,3/22/2020,-65
Burlington Transit,Canada,-74,Toronto,Toronto,3/23/2020,-67
Burlington Transit,Canada,-76,Toronto,Toronto,3/24/2020,-71
Burlington Transit,Canada,-80,Toronto,Toronto,3/25/2020,-76
Burlington Transit,Canada,-81,Toronto,Toronto,3/26/2020,-77
Burlington Transit,Canada,-82,Toronto,Toronto,3/27/2020,-78
Burlington Transit,Canada,-78,Toronto,Toronto,3/28/2020,-76
Burlington Transit,Canada,-76,Toronto,Toronto,3/29/2020,-71
Burlington Transit,Canada,-79,Toronto,Toronto,3/30/2020,-73
Burlington Transit,Canada,-81,Toronto,Toronto,3/31/2020,-76
Burlington Transit,Canada,-81,Toronto,Toronto,4/1/2020,-76
Burlington Transit,Canada,-81,Toronto,Toronto,4/2/2020,-76
Burlington Transit,Canada,-82,Toronto,Toronto,4/3/2020,-79
Burlington Transit,Canada,-79,Toronto,Toronto,4/4/2020,-77
Burlington Transit,Canada,-78,Toronto,Toronto,4/5/2020,-71
Burlington Transit,Canada,-80,Toronto,Toronto,4/6/2020,-76
Burlington Transit,Canada,-82,Toronto,Toronto,4/7/2020,-79
Burlington Transit,Canada,-82,Toronto,Toronto,4/8/2020,-78
Burlington Transit,Canada,-82,Toronto,Toronto,4/9/2020,-77
Burlington Transit,Canada,-83,Toronto,Toronto,4/10/2020,-80
Burlington Transit,Canada,-80,Toronto,Toronto,4/11/2020,-74
Burlington Transit,Canada,-80,Toronto,Toronto,4/12/2020,-77
Burlington Transit,Canada,-80,Toronto,Toronto,4/13/2020,-77
Burlington Transit,Canada,-82,Toronto,Toronto,4/14/2020,-79
Burlington Transit,Canada,-83,Toronto,Toronto,4/15/2020,-80
Burlington Transit,Canada,-83,Toronto,Toronto,4/16/2020,-83
Burlington Transit,Canada,-80,Toronto,Toronto,4/17/2020,-78
Burlington Transit,Canada,-79,Toronto,Toronto,4/18/2020,-79
Burlington Transit,Canada,-78,Toronto,Toronto,4/19/2020,-76
Burlington Transit,Canada,-78,Toronto,Toronto,4/20/2020,-76
Burlington Transit,Canada,-82,Toronto,Toronto,4/21/2020,-83
Burlington Transit,Canada,-82,Toronto,Toronto,4/22/2020,-80
Burlington Transit,Canada,-82,Toronto,Toronto,4/23/2020,-82
Burlington Transit,Canada,-80,Toronto,Toronto,4/24/2020,-81
Burlington Transit,Canada,-78,Toronto,Toronto,4/25/2020,-82
Burlington Transit,Canada,-77,Toronto,Toronto,4/26/2020,-78
Burlington Transit,Canada,-79,Toronto,Toronto,4/27/2020,-78
Burlington Transit,Canada,-82,Toronto,Toronto,4/28/2020,-80
Burlington Transit,Canada,-81,Toronto,Toronto,4/29/2020,-80
Burlington Transit,Canada,-82,Toronto,Toronto,4/30/2020,-81
Burlington Transit,Canada,-81,Toronto,Toronto,5/1/2020,-81
Burlington Transit,Canada,-78,Toronto,Toronto,5/2/2020,-79
Burlington Transit,Canada,-76,Toronto,Toronto,5/3/2020,-74
Burlington Transit,Canada,-79,Toronto,Toronto,5/4/2020,-79
Burlington Transit,Canada,-80,Toronto,Toronto,5/5/2020,-79
Burlington Transit,Canada,-80,Toronto,Toronto,5/6/2020,-79
Burlington Transit,Canada,-81,Toronto,Toronto,5/7/2020,-78
Burlington Transit,Canada,-80,Toronto,Toronto,5/8/2020,-82
Burlington Transit,Canada,-77,Toronto,Toronto,5/9/2020,-80
Burlington Transit,Canada,-76,Toronto,Toronto,5/10/2020,-73
Burlington Transit,Canada,-75,Toronto,Toronto,5/11/2020,-75
Burlington Transit,Canada,-79,Toronto,Toronto,5/12/2020,-78
Burlington Transit,Canada,-80,Toronto,Toronto,5/13/2020,-77
Burlington Transit,Canada,-80,Toronto,Toronto,5/14/2020,-79
Burlington Transit,Canada,-80,Toronto,Toronto,5/15/2020,-79
Burlington Transit,Canada,-74,Toronto,Toronto,5/16/2020,-73
Burlington Transit,Canada,-74,Toronto,Toronto,5/17/2020,-72
Burlington Transit,Canada,-77,Toronto,Toronto,5/18/2020,-76
Burlington Transit,Canada,-77,Toronto,Toronto,5/19/2020,-74
Burlington Transit,Canada,-76,Toronto,Toronto,5/20/2020,-74
Burlington Transit,Canada,-77,Toronto,Toronto,5/21/2020,-75
Burlington Transit,Canada,-76,Toronto,Toronto,5/22/2020,-74
Burlington Transit,Canada,-70,Toronto,Toronto,5/23/2020,-72
Burlington Transit,Canada,-69,Toronto,Toronto,5/24/2020,-67
Burlington Transit,Canada,-69,Toronto,Toronto,5/25/2020,-64
Burlington Transit,Canada,-73,Toronto,Toronto,5/26/2020,-71
Burlington Transit,Canada,-72,Toronto,Toronto,5/27/2020,-70
Burlington Transit,Canada,-74,Toronto,Toronto,5/28/2020,-75
Burlington Transit,Canada,-74,Toronto,Toronto,5/29/2020,-75
Burlington Transit,Canada,-69,Toronto,Toronto,5/30/2020,-68
Burlington Transit,Canada,-67,Toronto,Toronto,5/31/2020,-65
Burlington Transit,Canada,-70,Toronto,Toronto,6/1/2020,-66
Burlington Transit,Canada,-72,Toronto,Toronto,6/2/2020,-69
Burlington Transit,Canada,-73,Toronto,Toronto,6/3/2020,-71
Burlington Transit,Canada,-71,Toronto,Toronto,6/4/2020,-70
Burlington Transit,Canada,-71,Toronto,Toronto,6/5/2020,-72
Burlington Transit,Canada,-67,Toronto,Toronto,6/6/2020,-68
Burlington Transit,Canada,-63,Toronto,Toronto,6/7/2020,-65
Burlington Transit,Canada,-69,Toronto,Toronto,6/8/2020,-67
Burlington Transit,Canada,-70,Toronto,Toronto,6/9/2020,-69
Burlington Transit,Canada,-71,Toronto,Toronto,6/10/2020,-70
Burlington Transit,Canada,-71,Toronto,Toronto,6/11/2020,-73
Burlington Transit,Canada,-70,Toronto,Toronto,6/12/2020,-71
Burlington Transit,Canada,-65,Toronto,Toronto,6/13/2020,-71
Burlington Transit,Canada,-63,Toronto,Toronto,6/14/2020,-64
Burlington Transit,Canada,-66,Toronto,Toronto,6/15/2020,-65
Burlington Transit,Canada,-67,Toronto,Toronto,6/16/2020,-68
Burlington Transit,Canada,-67,Toronto,Toronto,6/17/2020,-72
Burlington Transit,Canada,-66,Toronto,Toronto,6/18/2020,-69
Burlington Transit,Canada,-64,Toronto,Toronto,6/19/2020,-68
Burlington Transit,Canada,-58,Toronto,Toronto,6/20/2020,-60
Burlington Transit,Canada,-59,Toronto,Toronto,6/21/2020,-62
Burlington Transit,Canada,-58,Toronto,Toronto,6/22/2020,-65
Burlington Transit,Canada,-65,Toronto,Toronto,6/23/2020,-69
Burlington Transit,Canada,-67,Toronto,Toronto,6/24/2020,-65
Burlington Transit,Canada,-63,Toronto,Toronto,6/25/2020,-67
Burlington Transit,Canada,-61,Toronto,Toronto,6/26/2020,-63
Burlington Transit,Canada,-57,Toronto,Toronto,6/27/2020,-58
Burlington Transit,Canada,-56,Toronto,Toronto,6/28/2020,-54
Burlington Transit,Canada,-55,Toronto,Toronto,6/29/2020,-56
Burlington Transit,Canada,-60,Toronto,Toronto,6/30/2020,-56
Burlington Transit,Canada,-67,Toronto,Toronto,7/1/2020,-69
Burlington Transit,Canada,-62,Toronto,Toronto,7/2/2020,-62
Burlington Transit,Canada,-60,Toronto,Toronto,7/3/2020,-60
Burlington Transit,Canada,-55,Toronto,Toronto,7/4/2020,-58
Burlington Transit,Canada,-55,Toronto,Toronto,7/5/2020,-55
Burlington Transit,Canada,-55,Toronto,Toronto,7/6/2020,-58
Burlington Transit,Canada,-60,Toronto,Toronto,7/7/2020,-61
Burlington Transit,Canada,-61,Toronto,Toronto,7/8/2020,-61
Burlington Transit,Canada,-60,Toronto,Toronto,7/9/2020,-61
Burlington Transit,Canada,-59,Toronto,Toronto,7/10/2020,-60
Burlington Transit,Canada,-58,Toronto,Toronto,7/11/2020,-63
Burlington Transit,Canada,-53,Toronto,Toronto,7/12/2020,-56
Burlington Transit,Canada,-59,Toronto,Toronto,7/13/2020,-57
Burlington Transit,Canada,-60,Toronto,Toronto,7/14/2020,-59
Burlington Transit,Canada,-59,Toronto,Toronto,7/15/2020,-61
Burlington Transit,Canada,-62,Toronto,Toronto,7/16/2020,-63
Burlington Transit,Canada,-59,Toronto,Toronto,7/17/2020,-58
Burlington Transit,Canada,-52,Toronto,Toronto,7/18/2020,-57
Burlington Transit,Canada,-55,Toronto,Toronto,7/19/2020,-61
Burlington Transit,Canada,-57,Toronto,Toronto,7/20/2020,-55
Burlington Transit,Canada,-59,Toronto,Toronto,7/21/2020,-54
Burlington Transit,Canada,-60,Toronto,Toronto,7/22/2020,-60
Burlington Transit,Canada,-61,Toronto,Toronto,7/23/2020,-57
Burlington Transit,Canada,-58,Toronto,Toronto,7/24/2020,-53
Burlington Transit,Canada,-53,Toronto,Toronto,7/25/2020,-50
Burlington Transit,Canada,-54,Toronto,Toronto,7/26/2020,-50
Burlington Transit,Canada,-56,Toronto,Toronto,7/27/2020,-50
Burlington Transit,Canada,-58,Toronto,Toronto,7/28/2020,-53
Burlington Transit,Canada,-59,Toronto,Toronto,7/29/2020,-58
Burlington Transit,Canada,-58,Toronto,Toronto,7/30/2020,-58
Burlington Transit,Canada,-57,Toronto,Toronto,7/31/2020,-52
Burlington Transit,Canada,-52,Toronto,Toronto,8/1/2020,-56
Burlington Transit,Canada,-56,Toronto,Toronto,8/2/2020,-57
Burlington Transit,Canada,-60,Toronto,Toronto,8/3/2020,-60
Burlington Transit,Canada,-60,Toronto,Toronto,8/4/2020,-60
Burlington Transit,Canada,-60,Toronto,Toronto,8/5/2020,-58
Burlington Transit,Canada,-60,Toronto,Toronto,8/6/2020,-60
MiWay,Canada,1,Toronto,Toronto,2/17/2020,-1
MiWay,Canada,6,Toronto,Toronto,2/18/2020,8
MiWay,Canada,-21,Toronto,Toronto,2/19/2020,-40
MiWay,Canada,3,Toronto,Toronto,2/20/2020,17
MiWay,Canada,1,Toronto,Toronto,2/21/2020,1
MiWay,Canada,-8,Toronto,Toronto,2/22/2020,-5
MiWay,Canada,-5,Toronto,Toronto,2/23/2020,-2
MiWay,Canada,3,Toronto,Toronto,2/24/2020,8
MiWay,Canada,4,Toronto,Toronto,2/25/2020,11
MiWay,Canada,12,Toronto,Toronto,2/26/2020,20
MiWay,Canada,1,Toronto,Toronto,2/27/2020,1
MiWay,Canada,-5,Toronto,Toronto,2/28/2020,-8
MiWay,Canada,-1,Toronto,Toronto,2/29/2020,-12
MiWay,Canada,1,Toronto,Toronto,3/1/2020,-9
MiWay,Canada,5,Toronto,Toronto,3/2/2020,-3
MiWay,Canada,-1,Toronto,Toronto,3/3/2020,2
MiWay,Canada,-1,Toronto,Toronto,3/4/2020,2
MiWay,Canada,-3,Toronto,Toronto,3/5/2020,2
MiWay,Canada,-4,Toronto,Toronto,3/6/2020,-2
MiWay,Canada,-2,Toronto,Toronto,3/7/2020,-4
MiWay,Canada,-3,Toronto,Toronto,3/8/2020,-1
MiWay,Canada,-2,Toronto,Toronto,3/9/2020,-4
MiWay,Canada,-5,Toronto,Toronto,3/10/2020,-7
MiWay,Canada,-6,Toronto,Toronto,3/11/2020,-8
MiWay,Canada,-10,Toronto,Toronto,3/12/2020,-13
MiWay,Canada,-24,Toronto,Toronto,3/13/2020,-23
MiWay,Canada,-31,Toronto,Toronto,3/14/2020,-31
MiWay,Canada,-31,Toronto,Toronto,3/15/2020,-32
MiWay,Canada,-50,Toronto,Toronto,3/16/2020,-51
MiWay,Canada,-60,Toronto,Toronto,3/17/2020,-59
MiWay,Canada,-66,Toronto,Toronto,3/18/2020,-63
MiWay,Canada,-69,Toronto,Toronto,3/19/2020,-65
MiWay,Canada,-71,Toronto,Toronto,3/20/2020,-67
MiWay,Canada,-68,Toronto,Toronto,3/21/2020,-63
MiWay,Canada,-68,Toronto,Toronto,3/22/2020,-63
MiWay,Canada,-74,Toronto,Toronto,3/23/2020,-67
MiWay,Canada,-76,Toronto,Toronto,3/24/2020,-68
MiWay,Canada,-80,Toronto,Toronto,3/25/2020,-75
MiWay,Canada,-81,Toronto,Toronto,3/26/2020,-77
MiWay,Canada,-82,Toronto,Toronto,3/27/2020,-78
MiWay,Canada,-78,Toronto,Toronto,3/28/2020,-77
MiWay,Canada,-76,Toronto,Toronto,3/29/2020,-75
MiWay,Canada,-79,Toronto,Toronto,3/30/2020,-77
MiWay,Canada,-81,Toronto,Toronto,3/31/2020,-79
MiWay,Canada,-81,Toronto,Toronto,4/1/2020,-78
MiWay,Canada,-81,Toronto,Toronto,4/2/2020,-79
MiWay,Canada,-82,Toronto,Toronto,4/3/2020,-79
MiWay,Canada,-79,Toronto,Toronto,4/4/2020,-77
MiWay,Canada,-78,Toronto,Toronto,4/5/2020,-75
MiWay,Canada,-80,Toronto,Toronto,4/6/2020,-78
MiWay,Canada,-82,Toronto,Toronto,4/7/2020,-80
MiWay,Canada,-82,Toronto,Toronto,4/8/2020,-81
MiWay,Canada,-82,Toronto,Toronto,4/9/2020,-79
MiWay,Canada,-83,Toronto,Toronto,4/10/2020,-85
MiWay,Canada,-80,Toronto,Toronto,4/11/2020,-80
MiWay,Canada,-80,Toronto,Toronto,4/12/2020,-80
MiWay,Canada,-80,Toronto,Toronto,4/13/2020,-77
MiWay,Canada,-82,Toronto,Toronto,4/14/2020,-78
MiWay,Canada,-83,Toronto,Toronto,4/15/2020,-80
MiWay,Canada,-83,Toronto,Toronto,4/16/2020,-80
MiWay,Canada,-80,Toronto,Toronto,4/17/2020,-74
