date_recovered,province,cumulative_recovered
12-08-2020,Alberta,10632.0
11-08-2020,Alberta,10552.0
10-08-2020,Alberta,10384.0
09-08-2020,Alberta,10097.0
08-08-2020,Alberta,10097.0
07-08-2020,Alberta,10097.0
06-08-2020,Alberta,9984.0
05-08-2020,Alberta,9891.0
04-08-2020,Alberta,9754.0
03-08-2020,Alberta,9261.0
02-08-2020,Alberta,9261.0
01-08-2020,Alberta,9261.0
31-07-2020,Alberta,9261.0
30-07-2020,Alberta,9113.0
29-07-2020,Alberta,8983.0
28-07-2020,Alberta,8886.0
27-07-2020,Alberta,8774.0
26-07-2020,Alberta,8567.0
25-07-2020,Alberta,8567.0
24-07-2020,Alberta,8567.0
23-07-2020,Alberta,8506.0
22-07-2020,Alberta,8436.0
21-07-2020,Alberta,8363.0
20-07-2020,Alberta,8308.0
19-07-2020,Alberta,8193.0
18-07-2020,Alberta,8193.0
17-07-2020,Alberta,8193.0
16-07-2020,Alberta,8142.0
15-07-2020,Alberta,8127.0
14-07-2020,Alberta,8048.0
13-07-2020,Alberta,7989.0
12-07-2020,Alberta,7844.0
11-07-2020,Alberta,7844.0
10-07-2020,Alberta,7844.0
09-07-2020,Alberta,7774.0
08-07-2020,Alberta,7716.0
07-07-2020,Alberta,7659.0
06-07-2020,Alberta,7627.0
05-07-2020,Alberta,7532.0
04-07-2020,Alberta,7532.0
03-07-2020,Alberta,7532.0
02-07-2020,Alberta,7505.0
01-07-2020,Alberta,7405.0
30-06-2020,Alberta,7405.0
29-06-2020,Alberta,7354.0
28-06-2020,Alberta,7322.0
27-06-2020,Alberta,7283.0
26-06-2020,Alberta,7225.0
25-06-2020,Alberta,7191.0
24-06-2020,Alberta,7134.0
23-06-2020,Alberta,7096.0
22-06-2020,Alberta,7041.0
21-06-2020,Alberta,7018.0
20-06-2020,Alberta,6996.0
19-06-2020,Alberta,6961.0
18-06-2020,Alberta,6938.0
17-06-2020,Alberta,6893.0
16-06-2020,Alberta,6882.0
15-06-2020,Alberta,6862.0
14-06-2020,Alberta,6861.0
13-06-2020,Alberta,6830.0
12-06-2020,Alberta,6811.0
11-06-2020,Alberta,6788.0
10-06-2020,Alberta,6754.0
09-06-2020,Alberta,6722.0
08-06-2020,Alberta,6698.0
07-06-2020,Alberta,6656.0
06-06-2020,Alberta,6656.0
05-06-2020,Alberta,6624.0
