"address_code","address","region","province","healthregion","lon","lat"
"North Bay Parry Sound, Ontario","North Bay Parry Sound, Ontario","North Bay Parry Sound","Ontario","North Bay Parry Sound, Ontario",-80.0432318,45.3591808
"North, Alberta","North, Alberta","North","Alberta","North, Alberta",-116.5765035,53.9332706
"North, Saskatchewan","North, Saskatchewan","North","Saskatchewan","North, Saskatchewan",-105.0985286,53.2517519
"Northern, British Columbia","Northern, British Columbia","Northern","British Columbia","Northern, British Columbia",-122.8133607,53.8922034
"Northern, Manitoba","Northern, Manitoba","Northern","Manitoba","Northern, Manitoba",-97.1418949,49.8931154
"Northwest Territories, Canada","Northwest Territories, Canada","Not Reported","Northwest Territories","Not Reported, Northwest Territories",-124.8457334,64.8255441
"Northwestern, Ontario","Northwestern, Ontario","Northwestern","Ontario","Northwestern, Ontario",-89.2691107,48.4000592
"Nova Scotia, Canada","Nova Scotia, Canada","Not Reported","Nova Scotia","Not Reported, Nova Scotia",-63.744311,44.6819866
"Nunavik, Quebec","Nunavik, Quebec","Nunavik","Quebec","Nunavik, Quebec",-68.4017925,58.1031447
"Nunavut, Canada","Nunavut, Canada","Not Reported","Nunavut","Not Reported, Nunavut",-83.107577,70.2997711
"Ontario, Canada","Ontario, Canada","Not Reported","Ontario","Not Reported, Ontario",-85.323214,51.253775
"Ottawa, Ontario","Ottawa, Ontario","Ottawa","Ontario","Ottawa, Ontario",-75.6971931,45.4215296
"Outaouais, Quebec","Outaouais, Quebec","Outaouais","Quebec","Outaouais, Quebec",-75.8762498,45.6761286
"Peel, Ontario","Peel, Ontario","Peel","Ontario","Peel, Ontario",-79.7848422,43.6766398
"Peterborough, Ontario","Peterborough, Ontario","Peterborough","Ontario","Peterborough, Ontario",-78.319747,44.309058
"Porcupine, Ontario","Porcupine, Ontario","Porcupine","Ontario","Porcupine, Ontario",-81.1909904,48.4950429
"Prairie Mountain, Manitoba","Prairie Mountain, Manitoba","Prairie Mountain","Manitoba","Prairie Mountain, Manitoba",-99.9490149,49.8478251
"Prince Edward Island, Canada","Prince Edward Island, Canada","Not Reported","Prince Edward Island","Not Reported, Prince Edward Island",-63.4168136,46.510712
"Prince Edward Island, Prince Edward Island","Prince Edward Island, Prince Edward Island","Not Reported","Prince Edward Island","Not Reported, Prince Edward Island",-63.4168136,46.510712
"Quebec, Canada","Quebec, Canada","Not Reported","Quebec","Not Reported, Quebec",-73.5491361,52.9399159
"Regina, Saskatchewan","Regina, Saskatchewan","Regina","Saskatchewan","Regina, Saskatchewan",-104.6188943,50.4452112
"Renfrew, Ontario","Renfrew, Ontario","Renfrew","Ontario","Renfrew, Ontario",-76.6877186,45.4749199
"Saguenay, Quebec","Saguenay, Quebec","Saguenay","Quebec","Saguenay, Quebec",-71.0684923,48.4280529
"Saskatchewan, Canada","Saskatchewan, Canada","Not Reported","Saskatchewan","Not Reported, Saskatchewan",-106.4508639,52.9399159
"Saskatoon, Saskatchewan","Saskatoon, Saskatchewan","Saskatoon","Saskatchewan","Saskatoon, Saskatchewan",-106.6700458,52.1332144
"Simcoe Muskoka, Ontario","Simcoe Muskoka, Ontario","Simcoe Muskoka","Ontario","Simcoe Muskoka, Ontario",-79.6863776,44.4107231
"South, Alberta","South, Alberta","South","Alberta","South, Alberta",-116.5765035,53.9332706
"South, Saskatchewan","South, Saskatchewan","South","Saskatchewan","South, Saskatchewan",-107.0751819,51.5435629
"Southern Health, Manitoba","Southern Health, Manitoba","Southern Health","Manitoba","Southern Health, Manitoba",-96.510941,49.5260333
"Southwestern, Ontario","Southwestern, Ontario","Southwestern","Ontario","Southwestern, Ontario",-80.7407763,43.1330816
